Mach,Cd_power_on,Cd_power_off
0.0,1.41,1.41
3e-05,1.41,1.41
0.000475,1.112,1.112
0.001,0.852,0.852
0.003,0.724,0.724
0.003,0.745,0.745
0.004,0.698,0.698
0.006,0.67,0.67
0.008,0.639,0.639
0.01,0.617,0.617
0.012,0.6,0.6
0.014,0.592,0.592
0.016,0.582,0.582
0.018,0.572,0.572
0.021,0.564,0.564
0.022,0.562,0.562
0.023,0.558,0.558
0.025,0.554,0.554
0.027,0.548,0.548
0.029,0.543,0.543
0.032,0.539,0.539
0.034,0.535,0.535
0.036,0.532,0.532
0.039,0.528,0.528
0.041,0.528,0.528
0.044,0.528,0.528
0.046,0.528,0.528
0.048,0.528,0.528
0.051,0.528,0.528
0.053,0.528,0.528
0.055,0.528,0.528
0.058,0.528,0.528
0.06,0.528,0.528
0.062,0.528,0.528
0.065,0.528,0.528
0.067,0.528,0.528
0.07,0.528,0.528
0.072,0.528,0.528
0.074,0.528,0.528
0.077,0.528,0.528
0.079,0.528,0.528
0.083,0.528,0.528
0.09,0.529,0.529
0.099,0.529,0.529
0.099,0.531,0.531
0.099,0.532,0.532
0.1,0.532,0.532
0.101,0.532,0.532
0.102,0.532,0.532
0.103,0.532,0.532
0.104,0.532,0.532
0.105,0.532,0.532
0.106,0.532,0.532
0.107,0.532,0.532
0.108,0.532,0.532
0.109,0.532,0.532
0.11,0.531,0.531
0.11,0.532,0.532
0.111,0.529,0.529
0.111,0.531,0.531
0.112,0.531,0.531
0.113,0.531,0.531
0.114,0.531,0.531
0.115,0.531,0.531
0.116,0.531,0.531
0.117,0.531,0.531
0.118,0.531,0.531
0.119,0.531,0.531
0.12,0.531,0.531
0.121,0.531,0.531
0.122,0.531,0.531
0.123,0.53,0.53
0.123,0.531,0.531
0.124,0.531,0.531
0.125,0.531,0.531
0.126,0.531,0.531
0.127,0.531,0.531
0.128,0.531,0.531
0.129,0.531,0.531
0.13,0.531,0.531
0.131,0.531,0.531
0.132,0.531,0.531
0.133,0.531,0.531
0.134,0.531,0.531
0.135,0.53,0.53
0.135,0.531,0.531
0.137,0.531,0.531
0.138,0.531,0.531
0.139,0.531,0.531
0.14,0.531,0.531
0.141,0.531,0.531
0.142,0.531,0.531
0.143,0.531,0.531
0.144,0.531,0.531
0.145,0.531,0.531
0.146,0.531,0.531
0.148,0.531,0.531
0.149,0.531,0.531
0.15,0.531,0.531
0.151,0.531,0.531
0.152,0.531,0.531
0.153,0.531,0.531
0.155,0.531,0.531
0.156,0.531,0.531
0.157,0.531,0.531
0.158,0.531,0.531
0.159,0.531,0.531
0.161,0.531,0.531
0.162,0.531,0.531
0.163,0.531,0.531
0.164,0.531,0.531
0.166,0.532,0.532
0.167,0.532,0.532
0.168,0.532,0.532
0.169,0.532,0.532
0.171,0.532,0.532
0.172,0.532,0.532
0.173,0.532,0.532
0.175,0.532,0.532
0.176,0.532,0.532
0.177,0.532,0.532
0.178,0.532,0.532
0.18,0.532,0.532
0.181,0.532,0.532
0.181,0.533,0.533
0.182,0.532,0.532
0.184,0.532,0.532
0.185,0.533,0.533
0.186,0.533,0.533
0.188,0.533,0.533
0.189,0.533,0.533
0.19,0.533,0.533
0.192,0.533,0.533
0.193,0.533,0.533
0.194,0.533,0.533
0.196,0.533,0.533
0.197,0.533,0.533
0.199,0.533,0.533
0.2,0.533,0.533
0.201,0.533,0.533
0.203,0.534,0.534
0.204,0.534,0.534
0.206,0.534,0.534
0.207,0.534,0.534
0.208,0.534,0.534
0.21,0.534,0.534
0.211,0.534,0.534
