label,rail_vel [m/s],rail_vel OK,stab_init [cal],stab_min [cal],stab_max [cal],stab_min OK,stab_pad_max OK,stab_flt_max OK,PASS
ERA5_2019_0615_12Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2019_0615_15Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2019_0615_18Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2019_0615_19Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2019_0615_20Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2019_0616_12Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2019_0616_15Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2019_0616_18Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2019_0616_19Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2019_0616_20Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2019_0617_12Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2019_0617_15Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2019_0617_18Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2019_0617_19Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2019_0617_20Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2019_0618_12Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2019_0618_15Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2019_0618_18Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2019_0618_19Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2019_0618_20Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2019_0619_12Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2019_0619_15Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2019_0619_18Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2019_0619_19Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2019_0619_20Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2019_0620_12Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2019_0620_15Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2020_0615_12Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2020_0615_15Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2020_0615_18Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2020_0615_19Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2020_0615_20Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2020_0616_12Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2020_0616_15Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2020_0616_18Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2020_0616_19Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2020_0616_20Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2020_0617_12Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2020_0617_15Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2020_0617_18Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2020_0617_19Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2020_0617_20Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2020_0618_12Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2020_0618_15Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2020_0618_18Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2020_0618_19Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2020_0618_20Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2020_0619_12Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2020_0619_15Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2020_0619_18Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2020_0619_19Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2020_0619_20Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2020_0620_12Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2020_0620_15Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2021_0615_12Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2021_0615_15Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2021_0615_18Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2021_0615_19Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2021_0615_20Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2021_0616_12Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2021_0616_15Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2021_0616_18Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2021_0616_19Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2021_0616_20Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2021_0617_12Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2021_0617_15Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2021_0617_18Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2021_0617_19Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2021_0617_20Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2021_0618_12Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2021_0618_15Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2021_0618_18Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2021_0618_19Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2021_0618_20Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2021_0619_12Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2021_0619_15Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2021_0619_18Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2021_0619_19Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2021_0619_20Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2021_0620_12Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2021_0620_15Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2022_0615_12Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2022_0615_15Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2022_0615_18Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2022_0615_19Z,25.99,True,2.942,2.942,4.206,True,True,True,True
ERA5_2022_0615_20Z,25.99,True,2.942,2.942,4.206,True,True,True,True
