label,inclination_case,heading_case,env_label,rail_vel [m/s],rail_vel OK,stab_init [cal],stab_min [cal],stab_max [cal],stab_min OK,stab_pad_max OK,stab_flt_max OK,PASS
min_elev_82deg__North__ERA5_2022_0616_15Z,min_elev_82deg,North,ERA5_2022_0616_15Z,29.18,True,2.942,2.942,4.206,True,True,True,True
min_elev_82deg__North__ERA5_2022_0616_18Z,min_elev_82deg,North,ERA5_2022_0616_18Z,29.18,True,2.942,2.942,4.206,True,True,True,True
min_elev_82deg__North__ERA5_2022_0619_15Z,min_elev_82deg,North,ERA5_2022_0619_15Z,29.18,True,2.942,2.942,4.206,True,True,True,True
min_elev_82deg__North__ERA5_2022_0619_18Z,min_elev_82deg,North,ERA5_2022_0619_18Z,29.18,True,2.942,2.942,4.206,True,True,True,True
min_elev_82deg__North__ERA5_2023_0616_15Z,min_elev_82deg,North,ERA5_2023_0616_15Z,29.18,True,2.942,2.942,4.206,True,True,True,True
min_elev_82deg__North__ERA5_2023_0616_18Z,min_elev_82deg,North,ERA5_2023_0616_18Z,29.18,True,2.942,2.942,4.206,True,True,True,True
min_elev_82deg__North__ERA5_2023_0619_15Z,min_elev_82deg,North,ERA5_2023_0619_15Z,29.18,True,2.942,2.942,4.206,True,True,True,True
min_elev_82deg__North__ERA5_2023_0619_18Z,min_elev_82deg,North,ERA5_2023_0619_18Z,29.18,True,2.942,2.942,4.206,True,True,True,True
min_elev_82deg__North__ERA5_2024_0616_15Z,min_elev_82deg,North,ERA5_2024_0616_15Z,29.18,True,2.942,2.942,4.206,True,True,True,True
min_elev_82deg__North__ERA5_2024_0616_18Z,min_elev_82deg,North,ERA5_2024_0616_18Z,29.18,True,2.942,2.942,4.206,True,True,True,True
min_elev_82deg__North__ERA5_2024_0619_15Z,min_elev_82deg,North,ERA5_2024_0619_15Z,29.18,True,2.942,2.942,4.206,True,True,True,True
min_elev_82deg__North__ERA5_2024_0619_18Z,min_elev_82deg,North,ERA5_2024_0619_18Z,29.18,True,2.942,2.942,4.206,True,True,True,True
min_elev_82deg__East__ERA5_2022_0616_15Z,min_elev_82deg,East,ERA5_2022_0616_15Z,29.18,True,2.942,2.942,4.206,True,True,True,True
min_elev_82deg__East__ERA5_2022_0616_18Z,min_elev_82deg,East,ERA5_2022_0616_18Z,29.17,True,2.942,2.942,4.206,True,True,True,True
min_elev_82deg__East__ERA5_2022_0619_15Z,min_elev_82deg,East,ERA5_2022_0619_15Z,29.18,True,2.942,2.942,4.206,True,True,True,True
min_elev_82deg__East__ERA5_2022_0619_18Z,min_elev_82deg,East,ERA5_2022_0619_18Z,29.17,True,2.942,2.942,4.206,True,True,True,True
min_elev_82deg__East__ERA5_2023_0616_15Z,min_elev_82deg,East,ERA5_2023_0616_15Z,29.18,True,2.942,2.942,4.206,True,True,True,True
min_elev_82deg__East__ERA5_2023_0616_18Z,min_elev_82deg,East,ERA5_2023_0616_18Z,29.18,True,2.942,2.942,4.206,True,True,True,True
min_elev_82deg__East__ERA5_2023_0619_15Z,min_elev_82deg,East,ERA5_2023_0619_15Z,29.18,True,2.942,2.942,4.206,True,True,True,True
min_elev_82deg__East__ERA5_2023_0619_18Z,min_elev_82deg,East,ERA5_2023_0619_18Z,29.18,True,2.942,2.942,4.206,True,True,True,True
min_elev_82deg__East__ERA5_2024_0616_15Z,min_elev_82deg,East,ERA5_2024_0616_15Z,29.18,True,2.942,2.942,4.206,True,True,True,True
min_elev_82deg__East__ERA5_2024_0616_18Z,min_elev_82deg,East,ERA5_2024_0616_18Z,29.18,True,2.942,2.942,4.206,True,True,True,True
min_elev_82deg__East__ERA5_2024_0619_15Z,min_elev_82deg,East,ERA5_2024_0619_15Z,29.17,True,2.942,2.942,4.206,True,True,True,True
min_elev_82deg__East__ERA5_2024_0619_18Z,min_elev_82deg,East,ERA5_2024_0619_18Z,29.17,True,2.942,2.942,4.206,True,True,True,True
min_elev_82deg__South__ERA5_2022_0616_15Z,min_elev_82deg,South,ERA5_2022_0616_15Z,29.18,True,2.942,2.942,4.206,True,True,True,True
min_elev_82deg__South__ERA5_2022_0616_18Z,min_elev_82deg,South,ERA5_2022_0616_18Z,29.17,True,2.942,2.942,4.206,True,True,True,True
min_elev_82deg__South__ERA5_2022_0619_15Z,min_elev_82deg,South,ERA5_2022_0619_15Z,29.18,True,2.942,2.942,4.206,True,True,True,True
min_elev_82deg__South__ERA5_2022_0619_18Z,min_elev_82deg,South,ERA5_2022_0619_18Z,29.17,True,2.942,2.942,4.206,True,True,True,True
min_elev_82deg__South__ERA5_2023_0616_15Z,min_elev_82deg,South,ERA5_2023_0616_15Z,29.18,True,2.942,2.942,4.206,True,True,True,True
min_elev_82deg__South__ERA5_2023_0616_18Z,min_elev_82deg,South,ERA5_2023_0616_18Z,29.18,True,2.942,2.942,4.206,True,True,True,True
min_elev_82deg__South__ERA5_2023_0619_15Z,min_elev_82deg,South,ERA5_2023_0619_15Z,29.18,True,2.942,2.942,4.206,True,True,True,True
min_elev_82deg__South__ERA5_2023_0619_18Z,min_elev_82deg,South,ERA5_2023_0619_18Z,29.18,True,2.942,2.942,4.206,True,True,True,True
min_elev_82deg__South__ERA5_2024_0616_15Z,min_elev_82deg,South,ERA5_2024_0616_15Z,29.18,True,2.942,2.942,4.206,True,True,True,True
