pressure_hPa,altitude_m,n_samples,u_mean,u_median,u_std,u_min,u_max,u_p05,u_p10,u_p25,u_p50,u_p75,u_p90,u_p95,u_pct_above_mean,v_mean,v_median,v_std,v_min,v_max,v_p05,v_p10,v_p25,v_p50,v_p75,v_p90,v_p95,v_pct_above_mean,speed_mean,speed_median,speed_std,speed_min,speed_max,speed_p05,speed_p10,speed_p25,speed_p50,speed_p75,speed_p90,speed_p95,speed_pct_above_mean,dir_mean_deg,dir_std_deg
1000,110,15120,-0.9031,-1.4691,3.6041,-10.3094,10.4040,-6.1505,-5.1686,-3.5784,-1.4691,1.6875,4.2522,5.5034,44.5899,1.6859,1.7825,2.7811,-12.9279,12.1535,-2.8957,-2.0080,-0.1756,1.7825,3.6222,5.1911,6.1195,51.4418,4.4933,4.2685,2.0475,0.0205,13.3811,1.4505,2.0089,3.0031,4.2685,5.8380,7.2602,8.1549,45.9590,334.5199,80.7476
975,320,15120,-0.9029,-1.4686,3.6035,-10.3229,10.3963,-6.1409,-5.1658,-3.5763,-1.4686,1.6868,4.2494,5.5001,44.6230,1.6858,1.7808,2.7810,-12.9281,12.1615,-2.9009,-2.0049,-0.1715,1.7808,3.6215,5.1905,6.1204,51.4484,4.4928,4.2697,2.0472,0.0403,13.3913,1.4537,2.0023,2.9992,4.2697,5.8369,7.2645,8.1619,45.9722,334.5301,80.7477
950,540,15120,-0.9032,-1.4691,3.6034,-10.3252,10.3827,-6.1459,-5.1656,-3.5795,-1.4691,1.6884,4.2523,5.4927,44.6032,1.6851,1.7850,2.7806,-12.9406,12.1206,-2.8971,-2.0039,-0.1731,1.7850,3.6195,5.1856,6.1136,51.3757,4.4925,4.2672,2.0467,0.0469,13.3870,1.4525,2.0056,3.0016,4.2672,5.8369,7.2610,8.1541,45.8929,334.5099,80.7492
925,762,15120,-0.9093,-1.4668,3.6110,-10.3366,10.3951,-6.1646,-5.1805,-3.5897,-1.4668,1.6886,4.2500,5.4935,44.6296,1.6892,1.7869,2.7844,-12.9195,12.1382,-2.8842,-2.0015,-0.1746,1.7869,3.6231,5.2129,6.1296,51.4352,4.5003,4.2683,2.0542,0.0349,13.3820,1.4458,2.0019,3.0017,4.2683,5.8536,7.2937,8.1862,45.8664,334.5306,80.7477
900,988,15120,-1.0776,-1.5096,4.1859,-14.3551,12.9754,-7.6675,-6.1529,-4.0417,-1.5096,1.8907,4.6868,6.1057,46.4153,2.1706,1.9778,3.5280,-14.4344,16.5031,-3.1342,-2.1237,-0.1587,1.9778,4.1851,6.6766,8.5920,47.6786,5.2642,4.7224,2.8512,0.0634,19.2363,1.5632,2.1356,3.2398,4.7224,6.6868,9.2435,11.0901,41.4550,337.9371,80.4071
875,1220,15120,-0.8532,-1.2556,4.7089,-15.4795,16.7247,-8.3545,-6.5300,-4.1365,-1.2556,2.3904,5.3734,7.0689,46.9577,2.6667,2.2131,4.3587,-17.4774,21.8478,-3.3324,-2.2634,-0.1567,2.2131,4.7625,8.2995,11.4557,44.8082,6.0082,5.1501,3.5934,0.0789,24.8237,1.6789,2.2929,3.4926,5.1501,7.6731,11.0520,13.5774,39.2791,345.3704,80.9860
850,1457,15120,-0.4193,-0.8936,5.1247,-15.4064,17.9235,-8.4219,-6.7096,-4.1106,-0.8936,3.2263,6.3526,8.2478,46.8254,2.9593,2.4012,4.8369,-18.8709,25.4128,-3.8138,-2.5832,-0.2770,2.4012,5.6277,9.4856,12.3997,44.6759,6.6296,5.8008,3.8262,0.0923,27.5769,1.8538,2.5517,3.8705,5.8008,8.5729,12.0259,14.3810,40.7606,353.1159,82.4939
825,1700,15120,0.0270,-0.4190,5.3491,-15.4863,16.3363,-7.9991,-6.5279,-3.9977,-0.4190,3.9778,7.3226,8.9928,47.3942,2.8846,2.5398,4.8666,-19.8445,24.5942,-4.4212,-3.0287,-0.4357,2.5398,5.8478,9.2100,11.3987,47.2487,6.8783,6.2183,3.6480,0.0544,25.7398,1.9484,2.7652,4.2110,6.2183,8.9139,11.8940,13.6596,43.1944,0.7335,84.2583
800,1949,15120,0.4002,0.0978,5.3027,-18.0754,16.7169,-7.4842,-5.9744,-3.6313,0.0978,4.3063,7.5885,9.2769,48.3730,2.4734,2.2144,4.5808,-15.3678,21.3450,-4.7997,-3.1467,-0.5824,2.2144,5.3407,8.3157,10.3521,47.6852,6.6158,6.0555,3.4076,0.0390,21.4408,1.9134,2.6839,4.1485,6.0555,8.5905,11.2878,13.2377,43.5516,7.8938,86.8123
775,2206,15120,0.6860,0.4345,5.1196,-17.3476,17.4249,-6.9077,-5.4228,-3.2430,0.4345,4.5816,7.4676,9.1044,48.6839,1.9382,1.7620,4.1254,-11.1294,18.9225,-4.5807,-3.0900,-0.8191,1.7620,4.4823,7.0400,8.8885,48.4392,6.1529,5.6739,3.0982,0.0493,19.5089,1.8525,2.6045,3.9611,5.6739,7.8000,10.4406,12.2443,43.5847,15.3341,91.4399
