,initial_static_margin [calibers],frontal_surface_wind [m/s],lateral_surface_wind [m/s],out_rail_vel [m/s],out_rail_stability [calibers],out_rail_angle_of_attack [deg],out_rail_thrust_to_weight [ratio],burn_out_dynamic_pressure [Pa],burn_out_time [s],burn_out_accel [m/s²],apogee_alt [m],apogee_time [s],max_speed [m/s],max_speed_time [s],max_mach [-],max_mach_time [s],max_dynamic_pressure [Pa],max_dynamic_pressure_time [s],max_acceleration_power_on [m/s²],max_acceleration_power_on_time [s],max_Gs_power_on [G],max_Gs_power_on_time [s],max_acceleration_power_off [m/s²],max_acceleration_power_off_time [s],max_Gs_power_off [G],max_Gs_power_off_time [s],max_stability_margin [calibers],impact_speed [m/s],impact_time [s],impact_x [m],impact_y [m],impact_lat [°],impact_lon [°],impact_radius [m],inclination_deg,heading_deg,case_key
min_elev_82deg__North__ERA5_2022_0616_15Z,2.9416249455043433,3.073825008525287,4.545474720080994,29.17738066726269,3.0197899910355464,10.801096498784416,9.473687346474138,46658.9405440467,4.519,32.189153930508645,3454.777338795898,26.00427085181279,314.35365993149753,4.296325391693198,0.9056433871494035,4.296325391693198,48332.387823856036,4.274925390513481,87.42345194504202,1.5006861425804305,8.914711134285614,1.5006861425804305,14.975635579472687,11.101449270596497,1.5270898400037412,11.101449270596497,4.206464041413016,9.66763605990799,169.75686943862837,236.93003997683684,1356.4429731641337,31.059487920460352,-103.52479420677916,1376.979804968025,82.0,0.0,min_elev_82deg__North
min_elev_82deg__North__ERA5_2022_0616_18Z,2.9418010695371164,5.413344330392947,7.819234670467396,29.176143412580082,3.019905373876029,18.51206808191426,9.473703669836699,46612.7121688812,4.519,32.14989395391825,3399.735693975982,25.791785857993148,313.7821244336526,4.2992976122712845,0.9056660267921898,4.2992976122712845,48269.95408965941,4.281928387160757,87.53454569255972,1.520106290665458,8.926039543836042,1.520106290665458,14.952505230296756,11.101596203715166,1.5247312007970875,11.101596203715166,4.206464041413016,12.45708359107435,167.82202578124895,374.12507847824713,1316.8113017192213,31.05913155165518,-103.52335423653706,1368.9271633954177,82.0,0.0,min_elev_82deg__North
min_elev_82deg__North__ERA5_2022_0619_15Z,2.9416226481486785,3.075812129983425,4.447053498891889,29.177365043582917,3.019795174208722,10.646565863317413,9.473687228823671,46750.96686235094,4.519,32.29583895025657,3451.0720320729233,25.9825275527356,314.25590561662517,4.294748883079397,0.9067395952001268,4.299439706820358,48429.12353287243,4.2604933925958575,87.41323048387599,1.5009298863378464,8.913668835318482,1.5009298863378464,15.155246706886297,10.93972479511169,1.5454050778692314,10.93972479511169,4.206464041413016,9.611938584112627,169.84802898623977,203.41605812592687,1300.0869231522781,31.058981222606278,-103.52514597744043,1315.9042900055642,82.0,0.0,min_elev_82deg__North
min_elev_82deg__North__ERA5_2022_0619_18Z,2.9417887981086785,6.5385726834876365,6.518514433128594,29.17630341171111,3.019893606335146,18.08512326752532,9.47370192456765,46944.33778934291,4.519,32.382797217060634,3419.6876833951956,25.864350893902802,313.31639245598035,4.290695571448326,0.9095078355678109,4.3077137274401585,48632.99680322054,4.26500363336951,87.45876202318436,1.5070800643922342,8.918311760201941,1.5070800643922342,17.57040082021969,9.103591419930138,1.7916822584898706,9.103591419930138,4.206464041413016,12.22253166802611,168.95458797959577,170.8399850084236,1278.327723225585,31.058785588163204,-103.52548789440429,1289.6930132573357,82.0,0.0,min_elev_82deg__North
min_elev_82deg__North__ERA5_2023_0616_15Z,2.941584091052111,-0.13554435232464734,-4.043675513274354,29.177398107120794,3.0198001388035376,7.910779937029268,9.47368517949347,46455.53877956503,4.519,31.960168324344917,3412.156115618861,25.813794667843702,315.0339609568971,4.296811232423839,0.903709055544117,4.296811232423839,48094.56429629536,4.281066106374767,87.5217663698229,1.501888294233861,8.924736415577481,1.501888294233861,23.57499796777411,6.47280407273548,2.403980764866097,6.47280407273548,4.206464041413016,8.963594453988609,168.0055669062166,135.3645947646773,1332.3055642404483,31.059270914133148,-103.52586023043935,1339.1645492701277,82.0,0.0,min_elev_82deg__North
min_elev_82deg__North__ERA5_2023_0616_18Z,2.941605767424167,-1.1120707733357387,-4.763655223563745,29.17712754934605,3.0198345187438944,9.48719793461897,9.473687932639415,46309.603374555096,4.519,31.8456571245887,3383.236130100414,25.70012187974941,315.2397077623364,4.295456814546398,0.9029772113726593,4.295456814546398,47925.62784930207,4.263992946537892,87.5968994900553,1.5082890172705263,8.932397861660741,1.5082890172705263,29.635478284192107,4.146380483635031,3.021977768574601,4.146380483635031,4.206464041413016,9.4034276349184,166.70655297250002,159.4872437438191,1362.2406894043188,31.05954006147529,-103.52560703745002,1371.5450691777337,82.0,0.0,min_elev_82deg__North
min_elev_82deg__North__ERA5_2023_0619_15Z,2.9415879241194456,-2.495401268587165,-3.3986086013324908,29.17707066984469,3.019847576083938,8.11968142131786,9.47368720955829,46437.95013738391,4.519,31.96883849570678,3358.621066732744,25.601559600807086,315.3264917449547,4.2972598833393185,0.9036442609294705,4.302348735511073,48057.97513693035,4.28708217899581,87.61951299244659,1.5036056067807226,8.934703797162802,1.5036056067807226,13.824416919537109,12.35820137011812,1.4096982067818378,12.35820137011812,4.206464041413016,9.065385025638038,166.07291985466307,154.1945311469753,1324.047851303398,31.059196665712335,-103.52566259508626,1332.9961237665998,82.0,0.0,min_elev_82deg__North
min_elev_82deg__North__ERA5_2023_0619_18Z,2.9415781177389717,-1.522072734586591,-3.483223426675167,29.177398178598466,3.019803749379773,7.3763420267327,9.473685104976989,46107.28239467352,4.519,31.92062620215643,3400.2182126730468,25.774136518991064,315.5458528681905,4.293978446751772,0.901302094258319,4.293978446751772,47710.21281866689,4.268163091160349,87.59708669037514,1.505571423936453,8.932416950780862,1.505571423936453,18.419282098255323,8.600869859816347,1.8782440587005067,8.600869859816347,4.206464041413016,8.900991232290886,166.88665946455745,218.48213956514206,1395.1185644679504,31.05983566099019,-103.52498782565459,1412.1226059489582,82.0,0.0,min_elev_82deg__North
min_elev_82deg__North__ERA5_2024_0616_15Z,2.9415414345490327,0.09726123309035138,-1.3065776545957575,29.17799763614734,3.0197347949805797,2.5776499866905302,9.473680019516221,45892.14662959657,4.519,31.81658424341026,3468.1117053809503,26.049671212231026,315.6199062517924,4.291882889269985,0.9011836716172738,4.308320661729197,47493.17526240038,4.270670312667646,87.50774893966879,1.4921378079774683,8.923307035498238,1.4921378079774683,25.043606586178452,6.00191477730987,2.5537371667366995,6.00191477730987,4.206464041413016,8.149001269428744,168.76020206072747,190.95898909052246,1312.3183077167942,31.05909119856436,-103.52527672253701,1326.1390109197243,82.0,0.0,min_elev_82deg__North
min_elev_82deg__North__ERA5_2024_0616_18Z,2.941565338213927,3.120940077270987,0.5213290699929076,29.17826042113938,3.0196816539154794,6.229304708111379,9.473681084934066,45542.11860915343,4.519,31.67789685469157,3538.334105698482,26.342178877000663,315.5774061528065,4.300878217781142,0.8991184584364449,4.300878217781142,47127.710089282096,4.274175489065225,87.45332769997081,1.5052640637452832,8.9177576134532,1.5052640637452832,15.20527353473792,10.900081421188796,1.550506394613647,10.900081421188796,4.206464041413016,8.664201830929786,170.29488669076733,385.7364622726555,1070.6414133195765,31.05691820440209,-103.523232459288,1138.0095141261183,82.0,0.0,min_elev_82deg__North
